S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
137,Burkina Faso,"13,319",,157 ,,"13,053",,109,,623,7,"179,998","8,421","21,376,120 ",Africa,"1,605136,154119",,,5,,,,,
138,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,370",9,,,"9,714,711 ",Asia,"730107,941",,,,,,,,
139,Andorra,"13,232",,125 ,,"12,684",,423,18,"171,027","1,616","193,595","2,502,262","77,368 ",Europe,66190,,,"5,467",,,,,
140,Haiti,"13,094",,254 ,,"12,148",,692,,"1,137",22,"60,085","5,217","11,517,868 ",North America,"88045,346192",,,60,,,,,
141,Togo,"12,992",,123 ,,"11,249",,"1,620",,"1,540",15,"311,597","36,923","8,439,039 ",Africa,"65068,61027",,,192,,,,,
142,Belize,"12,668",,323 ,,"12,218",,127,1,"31,387",800,"117,641","291,476","403,604 ",North America,"321,2503",,,315,,,,,
143,Curaçao,"12,207",,110 ,,"11,665",,432,22,"74,139",668,"95,244","578,460","164,651 ",North America,"131,4972",,,"2,624",,,,,
144,Hong Kong,"11,783",,210 ,,"11,432",,141,3,"1,561",28,"11,193,673","1,483,092","7,547,522 ",Asia,"64135,9411",,,19,,,,,
145,Martinique,"11,253",,75 ,,98,,"11,080",33,"30,006",200,"157,145","419,028","375,023 ",North America,"335,0002",,,"29,545",,,,,
146,Djibouti,"11,121",,145 ,,"10,748",,228,,"11,122",145,"149,630","149,643","999,911 ",Africa,"906,8967",,,228,,,,,
147,Papua New Guinea,"11,119",,115 ,,"9,302",,"1,702",,"1,224",13,"93,283","10,265","9,087,299 ",Australia/Oceania,"81779,02097",,,187,,,,,
148,Trinidad and Tobago,"11,072",,171 ,,"8,546",,"2,355",8,"7,890",122,"131,927","94,015","1,403,260 ",North America,"1278,20611",,,"1,678",,,,,
149,Lesotho,"10,731",,316 ,,"6,267",,"4,148",,"4,976",147,"79,490","36,863","2,156,361 ",Africa,"2016,82427",,,"1,924",,,,,
150,Congo,"10,678",,144 ,,"8,208",,"2,326",,"1,897",26,"92,500","16,429","5,630,256 ",Africa,"52739,09961",,,413,,,,,
151,Aruba,"10,650",,99 ,,"10,402",,149,14,"99,400",924,"148,931","1,390,021","107,143 ",North America,"101,0821",,,"1,391",,,,,
152,South Sudan,"10,583",,115 ,,"10,312",,156,,936,10,"151,582","13,411","11,302,639 ",Africa,"1,06898,28475",,,14,,,,,
153,Bahamas,"10,453",,199 ,,"9,494",,760,4,"26,372",502,"86,984","219,454","396,365 ",North America,"381,9925",,,"1,917",,,,,
